RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
38996,Brooklyn,2025,6,13,1,0,20,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,1,15,22,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,1,30,19,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,1,45,11,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,2,0,14,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,2,15,17,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,2,30,12,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,2,45,18,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,3,0,13,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,3,15,15,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,3,30,20,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,3,45,22,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,4,0,15,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,4,15,22,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,4,30,25,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,4,45,22,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,5,0,30,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,5,15,42,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,5,30,44,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,5,45,48,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,6,0,59,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,6,15,65,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,6,30,56,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,6,45,56,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,7,0,61,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,7,15,64,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,7,30,68,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,7,45,67,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,8,0,66,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,8,15,65,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,8,30,74,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,8,45,62,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,9,0,62,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,9,15,69,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
